Impact_group	Impact_term_NL	Impact_term_EN	Condition	Neg-filter	Category	Comments	Comments			Valid cats
verb_discontinuous_phrase	(betrokken) (me|mij|je|de lezer)	(concern|concerns|concerned) (me|you|reader)			R					
verb_discontinuous_phrase	(mij|me|je|lezer|ik|jij) geconfronteerd	(confront|confronts|confronted) (me|you|reader)			R					
adjective_term_book_related	knus	(cosy|cozy)			A					
verb_continuous_phrase	niet meer stoppen	(couldn't|can't) (stop|end)			Att					
verb_continuous_phrase	niet meer stoppen	(couldn't|can't) (stop|end)			A					
verb_discontinuous_phrase	(roept|riep) (sfeer) (op)	(create|creates|created) atmosphere			A					
verb_discontinuous_phrase		(create|creates|created|generate|generates|generated) (insight|insights)			R					
noun_continuous_phrase	zwarte humor	(dark|black) (humor|humour)			H					
noun_discontinuous_phrase	(diep*) (inzicht*)	(deep) (insight|insights|thought|thoughts|meaning|understanding)			R					
verb_continuous_phrase	vond er (niets|weinig) aan	(did not|didn't) enjoy			Neg					
verb_discontinuous_phrase	(je|me|mij) (niet) (losliet|loslieten|losgelaten)	(didn't|did not) (let) (me go|you go| go of me|go of you)			R					
verb_discontinuous_phrase	moeilijk (wegleggen|leggen|stoppen)	(difficult|hard) to (quit|stop)			Att					
verb_discontinuous_phrase	moeilijk (wegleggen|leggen|stoppen)	(difficult|hard) to (quit|stop)			A					
verb_discontinuous_phrase	(laat|liet|lieten) (mij|me|je|lezer) (niet) (los)	(do|did) not let (me|you|reader) go			Att					
verb_discontinuous_phrase	(laat|liet|lieten) (mij|me|je|lezer) (niet) (los)	(do|did) not let (me|you|reader) go			A					
verb_discontinuous_phrase	(doet|deed) (wat met) (je|me|mij)	(do|does|did) something to (me|you|reader)			R					
verb_discontinuous_phrase		(drag|drags|dragged) (me|you|reader) in			Att					
verb_discontinuous_phrase		(drag|drags|dragged) (me|you|reader) in			A					
verb_discontinuous_phrase	(sleep*|sleur*) (je|me|lezer|ons) (mee)	(drag|drags|dragged) (you|me|reader|us) (along)			Att					
verb_discontinuous_phrase	(sleep*|sleur*) (je|me|lezer|ons) (mee)	(drag|drags|dragged) (you|me|reader|us) (along)			A					
verb_discontinuous_phrase		(draw|draws|drew) (me|you|reader) in			Att					
verb_discontinuous_phrase		(draw|draws|drew) (me|you|reader) in			A					
verb_continuous_phrase	wegdromen	(dream|dreams|dreamt) away			N					
verb_continuous_phrase	(makkelijk|gemakkelijk) geschreven	(easily|simply) written			S					
adjective_term_book_related		eery			A					
adjective_term_book_related		eerie			A					
verb_term	meeleven	empathise			N					
verb_term	inleven	empathise			A					
verb_term	meeleven	empathize			N					
verb_term	inleven	empathize			A					
adjective_term_reader_related	bekoord	enamored	@reader		A					
adjective_term_reader_related	bekoord	enamoured	@reader		A					
verb_discontinuous_phrase	(zet aan|aanzet) (tot nadenken)	(encourage|encourages|encouraged) (thought|thoughts|reflection|reflections)			R					
verb_discontinuous_phrase	(betrekt) (me|mij|je|lezer)	(engage|engages|engaged) (me|you|reader)			A					
verb_discontinuous_phrase		(enter|enters|entered) the story world			N					
verb_continuous_phrase		(evoke|evokes|evoked) (feeling|feelings|smile|sadness|melancholy|tenderness|emotion|emotions)			A					
verb_term_book_related		(explore|explores|explored)	@topic		R					
noun_continuous_phrase	eye opener	(eye opener|eyeopener|eye-opener)			R					
verb_continuous_phrase	(valt|vallen|viel|vielen) (op) (zijn|haar|hun) (plek|plaats)	(fall|falls|fell) (into place)			N					
adjective_term_book_related		favorite			A					
adjective_term_book_related		favourite			A					
adjective_term_book_related		flavorless			Neg					
adjective_term_book_related		flavourless			Neg					
verb_discontinuous_phrase	(vloog|vliegt) voorbij	(fly|flies|flew) by			N					
verb_term		focalise			Neu					
verb_term		focalize			Neu					
verb_continuous_phrase		(force|forces|forced) (me|you|reader) (to) (continue)			Att					
verb_continuous_phrase		(force|forces|forced) (me|you|reader) (to) (continue)			A					
verb_continuous_phrase		(force|forces|forced) (me|you|reader) (to) (read|go) on			Att					
verb_continuous_phrase		(force|forces|forced) (me|you|reader) (to) (read|go) on			A					
verb_continuous_phrase	(dwong|dwongen|dwingt|dwingen) (me|mij|je|de lezer)	(force|forces|forced) (me|you|reader) (to) (think|consider|realize|realise|ask|question)			R					
noun_continuous_phrase	volledige aandacht	(full|complete) attention			Att					
noun_continuous_phrase	volledige aandacht	(full|complete) attention			A					
verb_discontinuous_phrase		(gain|gains|gained) (insight|insights)			R					
verb_continuous_phrase	betekenis (krijgt|krijgen)	(gain|gains|gained) meaning			R					
verb_discontinuous_phrase		(get|gets|got) (insight|insights)			R					
verb_discontinuous_phrase	(geeft|geven|gegeven|biedt|bieden|geboden|vergaart|vergaard|krijgt|krijgen|gekregen|vergaren|ontstaat|ontstaan) (inzicht|inzichten)	(give|gives|gave) (insight|insights)			R					
verb_continuous_phrase	(bezorgt|bezorgde) (me|je)	(give|gives|gave) (me|you)			A					
verb_continuous_phrase		(give|gives|gave) (me|you|reader) the creeps			N					
verb_discontinuous_phrase		(gives|give|gave|offers|offer|offered|gain|gains|gained|gets|get|got|obtain|obtained|glean|gleaned|provides|provided) (insight|insights|peek|view|analysis|depth)			R					
verb_continuous_phrase	goed (geschreven|omschreven|beschreven)	(good|well|best)	@style		S					
verb_discontinuous_phrase	(grijpt|grijpen|greep|grepen) (bij) (de|je|me|mijn|m'n) (keel)	(grab|grabs|grabbed) (me|you) by the throat			Att					
verb_discontinuous_phrase	(grijpt|grijpen|greep|grepen) (bij) (de|je|me|mijn|m'n) (keel)	(grab|grabs|grabbed) (me|you) by the throat			N					
adjective_term_book_related	geweldig	(great|amazing)	@style		S					
adverb_term_book_related		(greatly|amazingly)	@style		S					
verb_discontinuous_phrase		(hard|difficult) to (believe|swallow)			Neg					
verb_discontinuous_phrase		(hard|difficult) to comprehend			Neg					
verb_discontinuous_phrase	moeilijk (leesba*|inkom*|onderscheiden|volgen)	(hard|difficult) to distinguish			Neg					
verb_discontinuous_phrase		(hard|difficult) to follow			Neg					
verb_discontinuous_phrase	moeilijk (leesba*|inkom*|onderscheiden|volgen)	(hard|difficult) to get into			Neg					
verb_discontinuous_phrase		(hard|difficult) to imagine			R					
verb_discontinuous_phrase		(hard|difficult) to keep track			Neg					
verb_discontinuous_phrase		(hard|difficult) to keep up			Neg					
verb_discontinuous_phrase		(hard|difficult) to put down			Att		wertk niet, zie fac9887ccb7a7e733fb87572dc9a46c7-1			
verb_discontinuous_phrase		(hard|difficult) to put down			A					
verb_discontinuous_phrase		(hard|difficult) to relate to			Neg					
verb_discontinuous_phrase		(hard|difficult) to take			Neg					
verb_discontinuous_phrase		(hard|difficult) to understand			Neg					
verb_discontinuous_phrase		(have|has|had|need|needs|needed) to think about			R					
adjective_term_book_related		(heartbreaking|heart-breaking)			A					
adjective_term_book_related	hartverwarmend	(heartwarming|heart-warming)			A					
verb_continuous_phrase	zucht van verlichting	(heave|heaves|heaved) a sigh			N					
adjective_term_book_related		(heavy|controversial|serious|difficult|important)	@topic		R					
verb_discontinuous_phrase	(houdt|houden) (je|me|mijn|m'n) (aandacht) (vast)	(hold|holds|held) (my|your) (attention)			Att					
verb_discontinuous_phrase	(houdt|houden) (je|me|mijn|m'n) (aandacht) (vast)	(hold|holds|held) (my|your) (attention)			A					
verb_discontinuous_phrase	(houdt|houden) (je|me|mij|de lezer) (vast)	(hold|holds|held) on to (me|you|reader)			Att					
verb_discontinuous_phrase	(houdt|houden) (je|me|mij|de lezer) (vast)	(hold|holds|held) on to (me|you|reader)			A					
noun_term_book_related	humor	(humour|humor)			H					
other_discontinuous_phrase	frustratie	(I|me|my|you|your|reader) frustration			Neg					
verb_discontinuous_phrase		(I|me|you|reader) (am|is|are) (grateful|thankful)			A					
verb_discontinuous_phrase	(leeft je|leefde me) in	(I|me|you|reader) (sympathize|sympathizes|sympathized|sympathise|sympathises|sympathised|empathize|empathizes|empathized|empathise|empathises|empathised)			N					
verb_discontinuous_phrase	(ik|mij|me|mijn|je|jouw|lezer) (huiver|huivert|huiveren|huiverde)	(I|me|you|reader) (wince|winces|winced)			Neg					
verb_discontinuous_phrase	(ik|je) (begrijp|begrijpt|begreep|begrepen|begrijpen)	(I|you) (understand|understands|understood)			R					
verb_discontinuous_phrase		(I|you|me|reader) (look|looks|looked) forward to			A					
noun_discontinuous_phrase	(ik|je|mijn|me|mij) voorgevoel*	(I|you|my|your) (premonition|presentiment|foreboding|anticipation)			N					
noun_discontinuous_phrase	(ik|je|mijn|me) antipathie	(I|you|my|your) antipathy			Neg					
noun_discontinuous_phrase	(ik|je|mijn|me) opwinding	(I|you|my|your) excitement			A					
verb_term_reader_related		(I|you|myself|reader|me|yourself) (reflect|reflects|reflected)			R					
adjective_term_reader_related		(I|you|reader) (am|are|is) anxious			A					
adjective_term_reader_related		(I|you|reader) (am|are|is) grateful			A					
verb_discontinuous_phrase	(je|ik) (deel) (uitma*)	(I|you|reader) (am|are|is|was) (a) (part) (of)			N					
verb_discontinuous_phrase		(I|you|reader) (am|is|are) keen			A					
verb_discontinuous_phrase		(I|you|reader) (am|is|are) offended			Neg					
verb_discontinuous_phrase	(kan|kunt|kunnen|kon) (ik|je) volgen	(I|you|reader) (can|could) (understand|follow)			R					
verb_discontinuous_phrase	(ik|je|lezer) (verbonden)	(I|you|reader) (connect|connects|connected)			N					
verb_continuous_phrase	(ik|je|lezer) (voelt|voelde)	(I|you|reader) (feel|feels|felt)			A					
verb_continuous_phrase	(ik|je|lezer) (voelt|voelde)	(I|you|reader) (feel|feels|felt)	%like	y	N					
other_discontinuous_phrase		(I|you|reader) (feel|feels|felt) for			A					
noun_continuous_phrase		(I|you|reader) (have|has|had) trouble			Neg					
verb_continuous_phrase	(ik|je) (hoopte|hoopt)	(I|you|reader) (hope|hopes|hoped)			A					
verb_continuous_phrase	(ik|je) (hoopte|hoopt)	(I|you|reader) (hope|hopes|hoped)	@general	y	N					
verb_continuous_phrase	(ik|je) (hoopte|hoopt)	(I|you|reader) (hope|hopes|hoped)	@plot		N					
verb_discontinuous_phrase	(ik|je|lezer) (gaat|ging) op	(I|you|reader) (is|was) (immersed|absorbed|engrossed)			Att					
verb_discontinuous_phrase	(ik|je|lezer) (gaat|ging) op	(I|you|reader) (is|was) (immersed|absorbed|engrossed)			A					
verb_continuous_phrase	(ik|je) (merk|merkt)	(I|you|reader) (notice|notices|noticed)			R					
verb_discontinuous_phrase		(I|you|reader) (shiver|shivers|shivered)			A					
verb_discontinuous_phrase	(ik wilde|je wilt|wil je) (weten)	(I|you|reader) (want|wants|wanted) to know			N					
verb_discontinuous_phrase		(I|you|reader) (want|wants|wanted) to read (on|further)			Att					
verb_discontinuous_phrase		(I|you|reader) (want|wants|wanted) to read (on|further)			A					
other_discontinuous_phrase		(I|you|reader) confused			Neg					
other_discontinuous_phrase	aansporen	(I|you|reader) encourage			A					
other_discontinuous_phrase	beklijven	(I|you|reader) endure			Neg					
other_discontinuous_phrase	(je|ik) (je|jezelfme|mij|mezelf|mijzelf) (waan*)	(I|you|reader) imagine* (myself|yourself|himself|herself)			N					
verb_discontinuous_phrase	(worstel|worstelt|worstelen|worstelde|worstelden) (met|door)	(I|you|reader)(struggle|struggles|struggled) with			Neg					
verb_discontinuous_phrase		(incite|incites|incited) (thought|thoughts|reflection|reflections)			R					
verb_discontinuous_phrase		(inspire|inspires|inspired) new insights			R					
verb_discontinuous_phrase	(me|mij|je|de lezer) (betrokken)	(involve|involves|involved) (me|you|the reader)			N					
adjective_term_book_related	onweerstaanbaar	(irresistible|irresistable)			A					
verb_discontinuous_phrase	(houdt|houden|hield|hielden) (me|mij|je|de lezer) (alert|scherp|geboeid|aan het lezen)	(keep|keeps|kept) (me|you|reader) (alert|sharp|focused|focussed|captivated)			Att					
verb_discontinuous_phrase	(houdt|houden|hield|hielden) (me|mij|je|de lezer) (alert|scherp|geboeid|aan het lezen)	(keep|keeps|kept) (me|you|reader) (alert|sharp|focused|focussed|captivated)			A					
verb_discontinuous_phrase		(keep|keeps|kept) (me|you|reader) (engaged|reading|going|involved|wondering)			Att		dubbel			
verb_discontinuous_phrase		(keep|keeps|kept) (me|you|reader) (engaged|reading|going|involved|wondering)			A		dubbel			
verb_term_reader_related		(learn|learns|learned)	@reader		R					
verb_discontinuous_phrase		(leave|leaves|left) (wonder|wondering)			N					
verb_discontinuous_phrase	(liet|laat|laten)(je|ons|me|lezer)(koud)	(leave|leaves|left) (you|me|us|reader) (cold)			Neg					
adjective_term_book_related		(likeable|likable)			A					
verb_discontinuous_phrase	(leef*) (in) (wereld)	(live|lives|lived) (in) (world)	@reader		N					
verb_continuous_phrase	(uitkijken|verlangen) naar	(look|looks|looked|looking) forward to			A					
verb_discontinuous_phrase	(aandacht) (verliezen|verloor|verloren)	(lose|loses|lost) (attention)			Neg					
verb_discontinuous_phrase	(mezelf|jezelf|je|me) in (verliezen)	(lose|loses|lost) (me|myself|you|yourself) in			Att					
verb_discontinuous_phrase	(mezelf|jezelf|je|me) in (verliezen)	(lose|loses|lost) (me|myself|you|yourself) in			A					
noun_discontinuous_phrase	(draad) (kwijt*)	(lose|loses|lost) (the thread)			Neg					
verb_continuous_phrase	afgeknapt	(lose|loses|lost) interest			Neg					
adjective_term_book_related	prachtig	(magnificent|gorgeous|superb)			A					
adjective_term_book_related	prachtig	(magnificent|gorgeous|superb)	@plot		N					
adjective_term_book_related	prachtig	(magnificent|gorgeous|superb)	@character		N					
adjective_term_book_related	prachtig	(magnificent|gorgeous|superb)	@style		S					
other		(magnificently|gorgeously|superbly)	@style		S					
verb_discontinuous_phrase	(zet|zetten|zette) (de lezer|je|me|mij) (aan het denken)	(make|makes|made) (you|me|reader) (think)			R					
adjective_term_book_related		(make|makes|made) (you|me|the reader) consider	@reader		R		impact_group foutief			
verb_continuous_phrase		(make|makes|made|leave|leaves|left) a deep impression			R					
verb_continuous_phrase		(make|makes|made|leave|leaves|left) an impression			R					
adjective_term_book_related	meesterlijk	(masterful|masterfully|skillful|skillfully)			A					
adjective_term_book_related	meesterlijk	(masterful|skillful)	@plot		N					
adjective_term_book_related	meesterlijk	(masterful|skillful)	@character		N					
adjective_term_book_related	meesterlijk	(masterful|skillful)	@style		S					
other		(masterfully|skilfully)	@style		S					
verb_discontinuous_phrase		(mean|means|meant) something			R					
adjective_term_book_related	melancholisch	(melancholy|melancholic)			A					
verb_discontinuous_phrase		(melt|melts|melted) (my|your) heart			N					
verb_term		(mesmerise|mesmerize)			Att					
verb_term		(mesmerise|mesmerize)	@plot		N					
verb_term		(mesmerise|mesmerize)	@character		N					
verb_term		(mesmerise|mesmerize)	@style		S					
verb_term		(mesmerise|mesmerize)			A					
adjective_term_reader_related		(mesmerised|mesmerized)			Att					
adjective_term_reader_related		(mesmerised|mesmerized)	@plot		N					
adjective_term_reader_related		(mesmerised|mesmerized)	@character		N					
adjective_term_reader_related		(mesmerised|mesmerized)	@style		S					
adjective_term_reader_related		(mesmerised|mesmerized)			A					
adjective_term_book_related		(mesmerising|mesmerizing)			Att					
adjective_term_book_related		(mesmerising|mesmerizing)	@plot		N					
adjective_term_book_related		(mesmerising|mesmerizing)	@character		N					
adjective_term_book_related		(mesmerising|mesmerizing)	@style		S					
adjective_term_book_related		(mesmerising|mesmerizing)			A					
adjective_term_book_related	metaforisch	(metaphoric|metaphorical)			Neu					
adjective_term_book_related		(meticulous|meticulously)	@plot		N					
adjective_term_book_related		(meticulous|meticulously)	@style		S					
adjective_term_book_related		(mind-numbing|mind numbing|mindnumbing)			Neg					
adjective_term_book_related		(mindblowing|mind-blowing)			A					
verb_discontinuous_phrase		(move|moves|moved|touch|touches|touched|influence|influences|influenced) (me|you|reader)			A					
verb_discontinuous_phrase	(gelezen) (moet|moeten) (hebben)	(must|should) (read)			A					
noun_discontinuous_phrase	afkeer	(my|your) aversion			Neg					
noun_discontinuous_phrase	(ik|je|mijn|me) blijdschap	(my|your) joy			A					
noun_discontinuous_phrase	zenuwen	(my|your) nerves			Neg					
noun_discontinuous_phrase	(ik|je|mijn) tegenzin	(my|your) reluctance			Neg	?				
noun_discontinuous_phrase	worsteling	(my|your) struggle			Neg					
noun_discontinuous_phrase	medegevoel	(my|your|reader) compassion			A					
noun_discontinuous_phrase	geduld	(my|your|reader) patience			Neg					
noun_discontinuous_phrase	argwaan	(my|your|reader) suspicion			N					
noun_discontinuous_phrase	afschuw	(my|your|true|deep) horror			A					
verb_discontinuous_phrase	(moet) (me|mijn|m'n|je) (hoofd) (erbij houden)	(need|have|needs|has|had|needed) to pay attention			N					
verb_continuous_phrase	knap gedaan	(nicely|cleverly|skillfully|well|perfectly) (done|written)			S					
verb_discontinuous_phrase	(stuit|stoot) (mij|me|je|lezer) borst	(offend|offends|offended) (me|you|reader)	%if	y	Neg					
verb_discontinuous_phrase		(offer|offers|offered) (insight|insights)			R					
adjective_term_book_related	ééndimensionaal	(onedimensional|one-dimensional|one dimensional)			Neg					
verb_discontinuous_phrase	(open*) (me|je|mij) (ogen)	(open|opens|opened) (my|your) eyes to			R					
noun_term_book_related		(pageturner|page-turner|page turner)			Att					
noun_term_book_related		(pageturner|page-turner|page turner)			N					
adjective_term_book_related	nauwgezet	(painstaking|painstakingly)			A					
noun_continuous_phrase	(belangstelling) (gewek*|wek*)	(pique|piques|piqued|peak|peaks|peaked) (my|your|the) interest			Att					
noun_continuous_phrase	(belangstelling) (gewek*|wek*)	(pique|piques|piqued|peak|peaks|peaked) (my|your|the) interest			A					
verb_discontinuous_phrase		(place|places|placed) (me|myself|you|yourself) in			N					
adjective_term_book_related	prettig	(pleasant|pleasing)	@style		S					
adjective_term_book_related	dichterlijk	(poetic|poetical)			S					
adjective_term_book_related	poëtisch	(poetic|poetical)			S					
noun_continuous_phrase		(point of view|pov)			Neu					
verb_term_reader_related		(prompt|prompts|prompted|provoke|provokes|provoked) self-reflection			R					
verb_discontinuous_phrase		(provide|provides|provided) (insight|insights)			R					
verb_discontinuous_phrase	(trok|trekt) (ik|mij|me|mijn|je|jouw|lezer) aan	(pull|pulls|pulled) (me|you|reader) in			Att					
verb_discontinuous_phrase	(trok|trekt) (ik|mij|me|mijn|je|jouw|lezer) aan	(pull|pulls|pulled) (me|you|reader) in			N					
verb_discontinuous_phrase	(trok|trekt) (ik|mij|me|mijn|je|jouw|lezer) aan	(pull|pulls|pulled) (me|you|reader) in			A					
verb_discontinuous_phrase		(put|puts) (me|myself|you|yourself) in			Att					
verb_discontinuous_phrase		(put|puts) (me|myself|you|yourself) in			N					
verb_discontinuous_phrase	(zat|zit) (je|ik) (in het verhaal)	(put|puts|places|placed) (me|you|reader)	@plot		N					
verb_discontinuous_phrase	(roept|riep) (vragen) (op)	(raise|raises|raised) questions			R					
verb_continuous_phrase	(nogmaals) (lezen)	(read|reads) (again)			A					
verb_discontinuous_phrase	(leest|las) (in) (een|1) (adem|avond|ruk|zucht) (uit)	(read|reads) (in) (one) (go|sitting|evening|day)			Att					
verb_discontinuous_phrase	(leest|las) (in) (een|1) (adem|avond|ruk|zucht) (uit)	(read|reads) (in) (one) (go|sitting|evening|day)			A					
verb_continuous_phrase	weglezen	(read|reads) away			Att					
verb_term_reader_related	(bedenk|bedacht) (me)	(realise|realises|realised|realize|realizes|realized)	@reader		R					
adjective_term_book_related		(relatable|relateable)			A					
verb_discontinuous_phrase	(doet|doen) (me|mij|je) (denken aan)	(remind|reminds|reminded) (me|you|reader) (of)			R					
verb_discontinuous_phrase		(remind|reminds|reminded) (me|you|the reader)			R					
verb_discontinuous_phrase		(retain|retains|retained) (me|my|you|your|reader)			Att					
verb_discontinuous_phrase		(retain|retains|retained) (me|my|you|your|reader)			A					
verb_discontinuous_phrase		(reward|rewards|rewarded) (me|you|reader)			A					
verb_discontinuous_phrase		(rip|rips|ripped) (my|your) heart			N					
noun_continuous_phrase		(roller coaster|rollercoaster|roller-coaster) ride			N					
verb_continuous_phrase		(rub|rubs) (you|me) the wrong way			Neg					
verb_discontinuous_phrase	(grijpt|grijpen|greep|grepen) (bij) (de|je|me|mijn|m'n) (keel)	(seize|seizes|seized) (me|you) by the throat			Att					
verb_discontinuous_phrase	(grijpt|grijpen|greep|grepen) (bij) (de|je|me|mijn|m'n) (keel)	(seize|seizes|seized) (me|you) by the throat			A					
verb_discontinuous_phrase	(jammer|vreselijk|spijt|speet|snel) (uit (hebt|had))	(shame|sad|pity|quick|bad|fast) to finish			N					
verb_discontinuous_phrase		(should|must) (read)	^if	y	R					
adjective_term_book_related		(skillful|skillfully)	@plot		N					
adjective_term_book_related		(skillful|skillfully)	@character		N					
adjective_term_book_related		(skillful|skillfully)	@style		S					
adjective_term_book_related		(skillful|skillfully)			A					
verb_discontinuous_phrase	(blijft|blijven|bleef|bleven) (je|me|mij) (bij)	(stay|stays|stayed) (with) (you|me|reader)			R					
verb_discontinuous_phrase		(steal|steals|stole) (my|your) heart			N					
verb_continuous_phrase		(stick|sticks|stuck) (with) (it)			N					
verb_continuous_phrase		(stick|sticks|stuck) (with) (me|you|reader)			R					
verb_discontinuous_phrase	(je|me) (aangrijpt|aangreep)	(stir|stirs|stirred) (me|you)			A					
adjective_term_book_related	opgebouwd	(structure|structures|structured)	@plot		N					
adjective_term_book_related	opgebouwd	(structure|structures|structured)	@character		N					
verb_term	meezuigen	(suck|sucks|sucked) (me|you|reader) in			Att					
verb_term	meezuigen	(suck|sucks|sucked) (me|you|reader) in			A					
verb_term	meeleven	(sympathise|sympathize)			N					
verb_term	meevoelen	(sympathize|sympathizes|sympathized|sympathise|sympathises|sympathised)			A					
verb_discontinuous_phrase		(take|see) (the|a) perspective			R					
verb_discontinuous_phrase	(grijpt|grijpen|greep|grepen) (bij) (de|je|me|mijn|m'n) (keel)	(take|takes|took) (me|you) by the throat			Att					
verb_discontinuous_phrase	(grijpt|grijpen|greep|grepen) (bij) (de|je|me|mijn|m'n) (keel)	(take|takes|took) (me|you) by the throat			N					
verb_discontinuous_phrase	(sleep*|sleur*) (je|me|lezer|ons) (mee)	(take|takes|took) (you|me|reader|us) (along)			Att					
verb_discontinuous_phrase	(sleep*|sleur*) (je|me|lezer|ons) (mee)	(take|takes|took) (you|me|reader|us) (along)			N					
noun_continuous_phrase		(tear-jerker|tearjerker|tear jerker)			A					
verb_discontinuous_phrase	(staan de tranen) (me|mij|je) (in de ogen)	(tear*) (eye*)	@reader		A					
noun_continuous_phrase	(tranen) (in) (de|me|mij|mijn|m'n) (ogen)	(tear|tears) (in|to) (the|my|your|reader's) (eye|eyes)			A					
verb_discontinuous_phrase	(onderwerp|onderwerpen|thema|thema's) belangrijk*	(topic|topics|subject|subjects|theme|themes) important			R					
verb_discontinuous_phrase	(raakt|raken|raakte|raakten) (me|mij|je|lezer)	(touch|touches|touched) (me|you|reader)			R					
verb_discontinuous_phrase		(touch|touches|touched|) (my|your) heart			N					
verb_discontinuous_phrase		(tune|tunes|tuned) out	@reader		Neg					
verb_discontinuous_phrase		(understand|understood)	@reader		R					
adjective_term_book_related		(unlikeable|unlikable)			Neg					
verb_discontinuous_phrase		(warm|warms|warmed) (my|your) heart			N					
verb_discontinuous_phrase		(warn|warns|warned) (me|you|reader)			A					
verb_discontinuous_phrase		(win|wins|won) (my|your) heart			N					
noun_discontinuous_phrase		(word|words) (choose|chooses|chose|choice)			S					
noun_discontinuous_phrase	woordgebruik	(word|words) (use|uses|used|usage)			S					
noun_continuous_phrase	dieptepunt	a (new|all-time|all time) low			Neg					
noun_discontinuous_phrase	(een andere) (bril|blik|kijk)	a different (perspective|view|viewpoint|light)			R					
noun_continuous_phrase	verplichte kost	a must			A					
noun_continuous_phrase		a pity			Neg					
noun_continuous_phrase		a shame			Neg					
verb_term	absorberen	absorb	@reader		Att					
verb_term	absorberen	absorb	@reader		N					
adjective_term_reader_related		absorbed	@topic		R					
